Id,publisher,paper_title,year,topic,country,game,community,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,label_doi,Label
10.1073/pnas.96.19.10933,Proceedings of the National Academy of Sciences,"""Preplay contracting in the Prisoners' Dilemma""",1999,communication IV,USA,Prisoner-s-Dilemma,28,1,14,15,1,14,15,0.001676,"Andreoni 1999, 10.1073/pnas.96.19.10933",Andreoni 1999
10.3389/fnbeh.2016.00053,Frontiers Media SA,"Counter-Punishment, Communication, and Cooperation among Partners'",2016,,,,26,0,40,40,0,40,40,0,"Andrighetto 2016, 10.3389/fnbeh.2016.00053",Andrighetto 2016
10.1177/000312240507000307,SAGE Publications,"Cooperation in Microcredit Borrowing Groups: Identity, Sanctions, and Reciprocity in the Production of Collective Goods'",2005,,,,16,0,64,64,0,64,64,0,"Anthony 2005, 10.1177/000312240507000307",Anthony 2005
10.1038/srep27160,Springer Science and Business Media LLC,Cooperation Survives and Cheating Pays in a Dynamic Network Structure with Unreliable Reputation',2016,,,,10,0,36,36,0,36,36,0,"Antonioni 2016, 10.1038/srep27160",Antonioni 2016
10.1177/0022002706290433,SAGE Publications,The Role of Rivalry',2006,,,,26,3,47,50,3,47,50,0.008805,"Apesteguia 2006, 10.1177/0022002706290433",Apesteguia 2006
10.1177/1059601198234004,SAGE Publications,A Social Dilemma Perspective on Cooperative Behavior in Organizations',1998,,,,44,4,37,41,4,37,41,0.008797,"Aquino 1998, 10.1177/1059601198234004",Aquino 1998
10.1177/0022002792036004003,SAGE Publications,"The Effects of Resource Distribution, Voice, and Decision Framing on the Provision of Public Goods'",1992,,,,44,12,30,42,12,30,42,0.062842,"Aquino 1992, 10.1177/0022002792036004003",Aquino 1992
10.3758/BF03331202,Springer Science and Business Media LLC,Original stakes and behavior in the prisoner’s dilemma game',1968,,,,47,4,3,7,4,3,7,0.011145,"Aranoff 1968, 10.3758/BF03331202",Aranoff 1968
10.3390/g9010005,MDPI AG,Examining Spillovers between Long and Short Repeated Prisoner’s Dilemma Games Played in the Laboratory',2018,,,,10,0,25,25,0,25,25,0,"Arechar 2018, 10.3390/g9010005",Arechar 2018
10.1007/s40881-017-0035-0,Springer Science and Business Media LLC,Turking overtime: how participant characteristics and behavior vary over time and day on Amazon Mechanical Turk',2017,,,,10,0,17,17,0,17,17,0,"Arechar 2017, 10.1007/s40881-017-0035-0",Arechar 2017
10.1002/smj.740,Wiley,Reputation for cooperation: contingent benefits in alliance activity',2009,,,,29,0,36,36,0,36,36,0,"Arend 2009, 10.1002/smj.740",Arend 2009
10.1177/104649647700800404,SAGE Publications,"""An Empirical Test of Schutz' Three-Dimensional Theory of Group Process in Adolescent Dyads""",1977,,,,47,0,8,8,0,8,8,0,"Armstrong 1977, 10.1177/104649647700800404",Armstrong 1977
10.1002/bdm.1892,Wiley,Acting for the Greater Good: Identification with Group Determines Choices in Sequential Contribution Dilemmas',2015,identification IV,USA,Step-levelPGD,44,0,42,42,0,42,42,0,"Arora 2015, 10.1002/bdm.1892",Arora 2015
10.1002/bdm.1880,Wiley,Cautious Defection: Group Representatives Cooperate and Risk Less than Individuals',2015,expectations IV,USA,Prisoner-s-Dilemma,50,0,24,24,0,24,24,0,"Atanasov 2015, 10.1002/bdm.1880",Atanasov 2015
10.1111/j.1475-5890.2009.00092.x,Wiley,Building Trust? Conditional Cash Transfer Programmes and Social Capital',2009,,,,26,0,22,22,0,22,22,0,"Attanasio 2009, 10.1111/j.1475-5890.2009.00092.x",Attanasio 2009
10.1007/s10726-006-9067-1,Springer Science and Business Media LLC,Effect of Order of Contribution in a Sequential Public Goods Dilemma',2006,,,,44,1,20,21,1,20,21,0.001676,"Au 2006, 10.1007/s10726-006-9067-1",Au 2006
10.1002/bdm.419,Wiley,"""Effects of initial choices in the prisoner's dilemma""",2002,strategy IV,USA,Prisoner-s-Dilemma,18,1,21,22,1,21,22,0.001676,"Tung Au 2002, 10.1002/bdm.419",Tung Au 2002
10.1177/13684302030063004,SAGE Publications,Effects of Group Size Uncertainty and Protocol of Play in a Common Pool                Resource Dilemma',2003,,,,44,5,55,60,5,55,60,0.01282,"Au 2003, 10.1177/13684302030063004",Au 2003
10.1002/bdm.743,Wiley,"""Risk and Prisoner's Dilemma: A Reinterpretation of Coombs' Re-parameterization""",2011,individual differenences IV,CHN,Prisoner-s-Dilemma,29,1,18,19,1,18,19,0.001676,"Au 2011, 10.1002/bdm.743",Au 2011
10.1111/ecin.12105,Wiley,COMPETITION AND COOPERATION IN A PUBLIC GOODS GAME: A FIELD EXPERIMENT',2014,,,,26,0,28,28,0,28,28,0,"Augenblick 2014, 10.1111/ecin.12105",Augenblick 2014
10.1002/(SICI)1099-0992(199908/09)29:5/6<815::AID-EJSP967>3.0.CO;2-Z,Wiley,Intragroup social influence processes in intergroup behavior',1999,,,,50,0,1,1,0,1,1,0,"Van Avermaet 1999, 10.1002/(SICI)1099-0992(199908/09)29:5/6<815::AID-EJSP967>3.0.CO;2-Z",Van Avermaet 1999
10.1177/002200278002400101,SAGE Publications,"""Effective Choice in the Prisoner's Dilemma""",1980,,,,18,13,16,29,13,16,29,0.057071,"Axelrod 1980, 10.1177/002200278002400101",Axelrod 1980
10.1177/002200278002400301,SAGE Publications,"""More Effective Choice in the Prisoner's Dilemma""",1980,,,,47,13,6,19,15,6,21,0.046357,"Axelrod 1980, 10.1177/002200278002400301",Axelrod 1980
10.2466/pr0.1968.23.2.675,SAGE Publications,Effect of Increased Reward on the Two-Person Non-Zero-Sum Game',1968,,,,47,0,2,2,0,2,2,0,"Axelrod 1968, 10.2466/pr0.1968.23.2.675",Axelrod 1968
10.1207/S15327957PSPR0604_08,SAGE Publications,Beyond Geography: Cooperation with Persistent Links in the Absence of Clustered Neighborhoods',2002,,,,16,1,14,15,1,14,15,0.001676,"Axelrod 2002, 10.1207/S15327957PSPR0604_08",Axelrod 2002
10.1177/0146167274001001100,SAGE Publications,"Self-sacrifice, Cooperation and Aggression in Women of Varying Sex-role Orientations'",1974,,,,47,1,5,6,1,5,6,0.001676,"Baefsky 1974, 10.1177/0146167274001001100",Baefsky 1974
10.1111/j.1465-7295.1991.tb01276.x,Wiley,VOLUNTARY CONTRIBUTION GAMES: EFFICIENT PRIVATE PROVISION OF PUBLIC GOODS',1991,,,,28,20,21,41,20,21,41,0.056604,"Bagnoli 1991, 10.1111/j.1465-7295.1991.tb01276.x",Bagnoli 1991
10.3758/BF03196303,Springer Science and Business Media LLC,"""Self-control by pigeons in the prisoner's dilemma""",2002,,,,18,4,14,18,4,14,18,0.008735,"Baker 2002, 10.3758/BF03196303",Baker 2002
10.1073/pnas.1105456108,Proceedings of the National Academy of Sciences,Centralized sanctioning and legitimate authority promote cooperation in humans',2011,,,,10,16,34,50,16,34,50,0.034643,"Baldassarri 2011, 10.1073/pnas.1105456108",Baldassarri 2011
10.1111/bjop.12007,Wiley,The telltale face: Possible mechanisms behind defector and cooperator recognition revealed by emotional facial expression metrics',2012,,,,34,0,30,30,0,30,30,0,"Kovács-Bálint 2012, 10.1111/bjop.12007",Kovács-Bálint 2012
10.1177/0022002709352443,SAGE Publications,Communication and Cooperation in Social Dilemmas: A Meta-Analytic Review',2009,,,,44,14,51,65,14,51,65,0.030174,"Balliet 2009, 10.1177/0022002709352443",Balliet 2009
10.1177/1745691613488533,SAGE Publications,"Trust, Punishment, and Cooperation Across 18 Societies'",2013,,,,26,4,65,69,4,65,69,0.00775,"Balliet 2013, 10.1177/1745691613488533",Balliet 2013
10.1177/1368430209105040,SAGE Publications,Social Value Orientation and Cooperation in Social Dilemmas: A Meta-Analysis',2009,,,,44,28,57,85,28,64,92,0.059585,"Balliet 2009, 10.1177/1368430209105040",Balliet 2009
10.1177/0022002716658694,SAGE Publications,"Political Ideology, Trust, and Cooperation'",2016,expectations IV,USA,Prisoner-s-Dilemma,44,0,36,36,0,36,36,0,"Balliet 2016, 10.1177/0022002716658694",Balliet 2016
10.1038/srep07937,Springer Science and Business Media LLC,Group size effect on cooperation in one-shot social dilemmas',2015,group size IV,USA,ContinuousPGD,10,4,47,51,4,47,51,0.007191,"Barcelo 2015, 10.1038/srep07937",Barcelo 2015
10.1098/rspb.2006.0209,The Royal Society,Partner choice creates competitive altruism in humans',2006,,,,10,4,27,31,4,27,31,0.008712,"Barclay 2006, 10.1098/rspb.2006.0209",Barclay 2006
10.1007/s11238-006-9013-3,Springer Science and Business Media LLC,The Experimetrics of Public Goods: Inferring Motivations from Contributions',2006,,,,26,5,21,26,5,21,26,0.038725,"Bardsley 2006, 10.1007/s11238-006-9013-3",Bardsley 2006
10.1371/journal.pone.0058826,Public Library of Science (PLoS),Competition over Personal Resources Favors Contribution to Shared Resources in Human Groups',2013,,,,43,0,62,62,0,62,62,0,"Barker 2013, 10.1371/journal.pone.0058826",Barker 2013
10.3389/fpsyg.2017.00596,Frontiers Media SA,"""Individual Characteristics vs. Experience: An Experimental Study on Cooperation in Prisoner's Dilemma""",2017,,,,28,0,28,28,0,28,28,0,"Barreda-Tarrazona 2017, 10.3389/fpsyg.2017.00596",Barreda-Tarrazona 2017
10.1073/pnas.1208417109,Proceedings of the National Academy of Sciences,Climate negotiations under scientific uncertainty',2012,,,,28,7,25,32,7,25,32,0.015848,"Barrett 2012, 10.1073/pnas.1208417109",Barrett 2012
10.1038/nclimate2059,Springer Science and Business Media LLC,Sensitivity of collective action to uncertainty about climate tipping points',2013,,,,28,4,27,31,4,27,31,0.008168,"Barrett 2013, 10.1038/nclimate2059",Barrett 2013
10.1007/s10584-016-1711-4,Springer Science and Business Media LLC,An experimental investigation into ‘pledge and review’ in climate negotiations',2016,,,,28,0,19,19,0,19,19,0,"Barrett 2016, 10.1007/s10584-016-1711-4",Barrett 2016
10.1093/jeea/jvw022,Oxford University Press (OUP),Tipping Versus Cooperating to Supply a Public Good',2017,,,,26,0,13,13,0,13,13,0,"Barrett 2017, 10.1093/jeea/jvw022",Barrett 2017
10.1093/scan/nsq085,Oxford University Press (OUP),Oxytocin can hinder trust and cooperation in borderline personality disorder',2010,,,,37,3,34,37,3,34,37,0.006563,"Bartz 2010, 10.1093/scan/nsq085",Bartz 2010
10.1098/rsbl.2006.0509,The Royal Society,Cues of being watched enhance cooperation in a real-world setting',2006,,,,10,19,15,34,19,15,34,0.135717,"Bateson 2006, 10.1098/rsbl.2006.0509",Bateson 2006
10.1002/ejsp.26,Wiley,"""Empathy-induced altruism in a prisoner's dilemma II: what if the target of empathy has defected?""",2001,communication IV,USA,Prisoner-s-Dilemma,44,5,17,22,5,17,22,0.009355,"Batson 2001, 10.1002/ejsp.26",Batson 2001
10.1111/j.1469-7610.1974.tb01200.x,Wiley,CO-OPERATIVE CONFLICT RESOLUTION IN INSTITUTIONALISED BOY DYADS',1974,,,,47,0,9,9,0,9,9,0,"Bauer 1974, 10.1111/j.1469-7610.1974.tb01200.x",Bauer 1974
10.1007/978-1-4613-2967-1_10,Springer US,Crowding and Personal Control: Social Density and the Development of Learned Helplessness',1979,,,,32,0,8,8,0,8,8,0,"Baum 1979, 10.1007/978-1-4613-2967-1_10",Baum 1979
10.1002/hbm.21298,Wiley,The mentalizing network orchestrates the impact of parochial altruism on social norm enforcement',2011,,,,37,1,73,74,1,73,74,0.003212,"Baumgartner 2011, 10.1002/hbm.21298",Baumgartner 2011
10.1038/nn.2933,Springer Science and Business Media LLC,Dorsolateral and ventromedial prefrontal cortex orchestrate normative choice',2011,,,,37,3,48,51,3,48,51,0.005515,"Baumgartner 2011, 10.1038/nn.2933",Baumgartner 2011
10.1177/0022002713515401,SAGE Publications,The Geography of Ethnocentrism',2014,,,,10,0,33,33,0,33,33,0,"Bausch 2014, 10.1177/0022002713515401",Bausch 2014
10.1177/002200277301700107,SAGE Publications,Prejudiced Liberals?',1973,identification IV,USA,Prisoner-s-Dilemma,47,2,16,18,2,16,18,0.003351,"Baxter 1973, 10.1177/002200277301700107",Baxter 1973
10.1007/s10683-012-9348-2,Springer Science and Business Media LLC,Confusion and learning in the voluntary contributions game',2013,,,,26,2,39,41,2,39,41,0.00384,"Bayer 2013, 10.1007/s10683-012-9348-2",Bayer 2013
10.1007/s11127-012-9929-9,Springer Science and Business Media LLC,Does a membership fee foster successful public good provision? An experimental investigation of the provision of a step-level collective good',2012,,,,28,2,13,15,2,13,15,0.00384,"Bchir 2012, 10.1007/s11127-012-9929-9",Bchir 2012
10.1017/S1355770X15000340,Cambridge University Press (CUP),Social capital dynamics and collective action: the role of subjective satisfaction in a common pool resource experiment',2015,,,,16,0,34,34,0,34,34,0,"Becchetti 2015, 10.1017/S1355770X15000340",Becchetti 2015
10.1002/1097-4679(197307)29:3<322::aid-jclp2270290312>3.0.co;2-u,Wiley,Cooperation of acting-out adolescents: Reactions to the “lapsed saint” and “reformed sinner” strategies',1973,,,,47,0,4,4,0,4,4,0,"Beckman 1973, 10.1002/1097-4679(197307)29:3<322::aid-jclp2270290312>3.0.co;2-u",Beckman 1973
10.1098/rspb.2014.1661,The Royal Society,Costs for switching partners reduce network dynamics but not cooperative behaviour',2014,,,,10,1,51,52,1,51,52,0.001676,"Bednarik 2014, 10.1098/rspb.2014.1661",Bednarik 2014
10.1080/02699931.2016.1147423,Informa UK Limited,"""The implicit cognition of reciprocal exchange: automatic retrieval of positive and negative experiences with partners in a prisoner's dilemma game""",2016,,,,34,1,45,46,1,45,46,0.001676,"Bell 2016, 10.1080/02699931.2016.1147423",Bell 2016
10.1371/journal.pone.0187952,Public Library of Science (PLoS),Separating conditional and unconditional cooperation in a sequential Prisoner’s Dilemma game',2017,,,,34,0,51,51,0,51,51,0,"Bell 2017, 10.1371/journal.pone.0187952",Bell 2017
10.1111/psyp.12561,Wiley,Event-related potentials in response to cheating and cooperation in a social dilemma game',2015,,,,34,2,60,62,2,60,62,0.00384,"Bell 2015, 10.1111/psyp.12561",Bell 2015
10.1177/0022002791035004007,SAGE Publications,When in Doubt...',1991,,,,44,7,23,30,7,23,30,0.026046,"Bendor 1991, 10.1177/0022002791035004007",Bendor 1991
10.1162/REST_a_00586,MIT Press - Journals,Religious Identity and Economic Behavior',2016,,,,23,0,98,98,0,98,98,0,"Benjamin 2016, 10.1162/REST_a_00586",Benjamin 2016
10.3758/BF03336592,Springer Science and Business Media LLC,Reactions to various patterns of deceit in a mixed-motive game',1972,,,,47,0,9,9,0,9,9,0,"Benton 1972, 10.3758/BF03336592",Benton 1972
10.3389/fnbeh.2017.00079,Frontiers Media SA,Exposure to Hedione Increases Reciprocity in Humans',2017,,,,34,0,54,54,0,54,54,0,"Berger 2017, 10.3389/fnbeh.2017.00079",Berger 2017
10.1371/journal.pone.0119685,Public Library of Science (PLoS),Sociality as a Natural Mechanism of Public Goods Provision',2015,,,,33,2,46,48,2,46,48,0.003351,"Berkman 2015, 10.1371/journal.pone.0119685",Berkman 2015
10.1080/00224545.1968.9924850,Informa UK Limited,"Alternative Measures of Authoritarianism, Response Sets, and Prediction in a Two-Person Game'",1968,,,,47,1,7,8,1,7,8,0.001676,"Berkowitz 1968, 10.1080/00224545.1968.9924850",Berkowitz 1968
10.1038/nature04981,Springer Science and Business Media LLC,Parochial altruism in humans',2006,,,,10,18,26,44,18,26,44,0.156137,"Bernhard 2006, 10.1038/nature04981",Bernhard 2006
10.1080/00207597508247333,Wiley,The Effect of Westernization on Cooperative Behaviour in Central Africa',1975,education IV,ZMB,Prisoner-s-Dilemma,47,1,6,7,1,6,7,0.012611,"Bethlehem 1975, 10.1080/00207597508247333",Bethlehem 1975
10.1080/00207597308247069,Wiley,"Cooperation, Competition and Altruism Among Schoolchildren in Zambia'",1973,strategy IV,ZMB,Prisoner-s-Dilemma,47,1,14,15,1,14,15,0.003492,"Bethlehem 1973, 10.1080/00207597308247069",Bethlehem 1973
10.1177/0022002791035004006,SAGE Publications,Response to Strategy and Communication in an Arms Race-Disarmament Dilemma',1991,,,,47,4,17,21,4,17,21,0.015738,"Betz 1991, 10.1177/0022002791035004006",Betz 1991
10.2466/pr0.1993.73.3f.1289,SAGE Publications,Social Motives and the Use of Influence Attempts',1993,,,,44,0,3,3,0,3,3,0,"Betz 1993, 10.2466/pr0.1993.73.3f.1289",Betz 1993
10.2466/pr0.1995.76.1.322,SAGE Publications,Comparison of GRIT versus GRIT/TIT-FOR-TAT',1995,,,,47,0,2,2,0,2,2,0,"Betz 1995, 10.2466/pr0.1995.76.1.322",Betz 1995
10.3390/socsci4010148,MDPI AG,Negative Emotional Energy: A Theory of the “Dark-Side” of Interaction Ritual Chains',2015,,,,50,0,48,48,0,48,48,0,"Boyns 2015, 10.3390/socsci4010148",Boyns 2015
10.1177/002200276601000406,SAGE Publications,"Control of choice exerted by structural factors in two-person, non-zero-sum games 1'",1966,,,,47,4,6,10,4,6,10,0.022254,"Bixenstine 1966, 10.1177/002200276601000406",Bixenstine 1966
10.1177/002200277101500204,SAGE Publications,"Strategies of ""real"" opponents in eliciting cooperative choice in a Prisoner\'s Dilemma game'",1971,,,,47,7,11,18,7,11,18,0.041476,"Bixenstine 1971, 10.1177/002200277101500204",Bixenstine 1971
10.1177/002200276400800206,SAGE Publications,Effect of asymmetry in payoff on behavior in a two-person non-zero-sum game',1964,gender IV,GBR,Prisoner-s-Dilemma,47,20,4,24,20,4,24,0.122347,"Bixenstine 1964, 10.1177/002200276400800206",Bixenstine 1964
10.1177/002200276601000407,SAGE Publications,"""Collaboration among six persons in a Prisoner's Dilemma game""",1966,communication IV,USA,Prisoner-s-Dilemma,47,14,10,24,14,10,24,0.110347,"Bixenstine 1966, 10.1177/002200276601000407",Bixenstine 1966
10.1007/s12143-010-9073-6,Informa UK Limited,Is There a Bias Toward Contributing to Local Public Goods? Cultural Effects',2010,,,,26,0,12,12,0,12,12,0,"Blackwell 2010, 10.1007/s12143-010-9073-6",Blackwell 2010
10.1038/srep14559,Springer Science and Business Media LLC,The shadow of the future promotes cooperation in a repeated prisoner’s dilemma for children',2015,,,,33,0,43,43,0,43,43,0,"Blake 2015, 10.1038/srep14559",Blake 2015
10.1007/s10683-017-9511-x,Springer Science and Business Media LLC,Externalities in appropriation: responses to probabilistic losses',2017,,,,26,0,28,28,0,28,28,0,"Blanco 2017, 10.1007/s10683-017-9511-x",Blanco 2017
10.3389/fpsyg.2017.01017,Frontiers Media SA,Cooperative Behavior in the Ultimatum Game and Prisoner’s Dilemma Depends on Players’ Contributions',2017,,,,28,0,59,59,0,59,59,0,"Bland 2017, 10.3389/fpsyg.2017.01017",Bland 2017
10.1080/09638180.2016.1258319,Informa UK Limited,The Effect of Tax Privacy on Tax Compliance – An Experimental Investigation',2016,,,,7,0,34,34,0,34,34,0,"Blaufus 2016, 10.1080/09638180.2016.1258319",Blaufus 2016
10.1177/1948550616639650,SAGE Publications,The Structure of Human Prosociality',2016,,,,37,0,38,38,0,38,38,0,"Böckler 2016, 10.1177/1948550616639650",Böckler 2016
10.1002/ejsp.1923,Wiley,Social categorization and group-motivated interindividual-intergroup discontinuity',2012,,,,50,1,40,41,1,40,41,0.001676,"Böhm 2012, 10.1002/ejsp.1923",Böhm 2012
10.1007/s11127-010-9665-y,Springer Science and Business Media LLC,Power comes with responsibility—or does it?',2010,,,,16,1,21,22,1,21,22,0.001676,"Bolle 2010, 10.1007/s11127-010-9665-y",Bolle 2010
10.1007/s11238-011-9285-0,Springer Science and Business Media LLC,Multiple motives of pro-social behavior: evidence from the solidarity game',2011,,,,26,0,41,41,0,41,41,0,"Bolle 2011, 10.1007/s11238-011-9285-0",Bolle 2011
10.1177/002200277602000406,SAGE Publications,"""Cooperation and Group Size in the N-Person Prisoners' Dilemma""",1976,group size IV,USA,Prisoner-s-Dilemma,44,11,21,32,11,21,32,0.078651,"Bonacich 1976, 10.1177/002200277602000406",Bonacich 1976
10.1371/journal.pone.0155773,Public Library of Science (PLoS),Power Asymmetries and Punishment in a Prisoner’s Dilemma with Variable Cooperative Investment',2016,,,,18,0,41,41,0,42,42,0,"Bone 2016, 10.1371/journal.pone.0155773",Bone 2016
10.2224/sbp.1974.2.2.212,Scientific Journal Publishers Ltd,THE RELATIVE EFFICACIES OF ESCALATION AND DEESCALATION FOR COMPLIANCE-GAINING IN TWO-PARTY CONFLICTS',1974,,,,47,0,7,7,0,7,7,0,"Bonoma 1974, 10.2224/sbp.1974.2.2.212",Bonoma 1974
10.3758/bf03337447,Springer Science and Business Media LLC,Source prestige and target reactions to threats',1970,agent IV,USA,Prisoner-s-Dilemma,47,0,6,6,0,6,6,0,"Bonoma 1970, 10.3758/bf03337447",Bonoma 1970
10.1177/0022002710372329,SAGE Publications,Inducing Cooperative Behavior among Proselfs versus Prosocials: The Moderating Role of Incentives and Trust',2010,age IV,BEL,Prisoner-s-Dilemma,44,10,47,57,10,47,57,0.02227,"Boone 2010, 10.1177/0022002710372329",Boone 2010
10.1002/ejsp.2420180205,Wiley,Intergroup competition for the provision of step-level public goods: Effects of preplay communication',1988,,,,44,5,12,17,5,12,17,0.124887,"Bornstein 1988, 10.1002/ejsp.2420180205",Bornstein 1988
10.3390/g1010018,MDPI AG,"Punishment, Cooperation, and Cheater Detection in “Noisy” Social Exchange'",2010,,,,10,2,48,50,2,48,50,0.005453,"Bornstein 2010, 10.3390/g1010018",Bornstein 2010
10.1177/0022002794038004005,SAGE Publications,The Effect of Repeated Play in the IPG and IPD Team Games',1994,,,,50,5,12,17,5,12,17,0.014189,"Bornstein 1994, 10.1177/0022002794038004005",Bornstein 1994
